"FRAME_NO, MEAN, STD_DEV"
741,17.0,3.9496835316262997
742,17.0,3.9496835316262997
743,17.0,3.9496835316262997
744,17.0,3.9496835316262997
745,17.0,3.9496835316262997
746,17.0,3.9496835316262997
747,16.3,3.689173349139344
748,16.3,3.689173349139344
749,21.7,2.1
750,21.6,3.8522720568516444
751,21.6,3.8522720568516444
752,21.6,3.8522720568516444
753,21.6,3.8522720568516444
754,21.6,3.8522720568516444
755,21.6,3.8522720568516444
756,21.6,3.8522720568516444
757,21.6,3.8522720568516444
758,21.6,3.8522720568516444
759,21.6,3.8522720568516444
760,21.6,3.8522720568516444
761,21.6,3.8522720568516444
762,21.6,3.8522720568516444
763,21.6,3.8522720568516444
764,21.6,3.8522720568516444
765,21.8,3.9698866482558417
766,21.8,3.9698866482558417
767,21.8,3.9698866482558417
768,21.8,3.9698866482558417
769,21.8,3.9698866482558417
770,13.5,3.4132096331752027
771,13.5,3.4132096331752027
772,13.5,3.4132096331752027
773,13.5,3.4132096331752027
774,13.5,3.4132096331752027
775,13.5,3.4132096331752027
776,13.5,3.4132096331752027
777,13.5,3.4132096331752027
778,13.5,3.4132096331752027
779,13.5,3.4132096331752027
780,13.5,3.4132096331752027
781,13.5,3.4132096331752027
782,13.5,3.4132096331752027
783,13.5,3.4132096331752027
784,13.5,3.4132096331752027
785,13.5,3.4132096331752027
786,13.5,3.4132096331752027
787,13.5,3.4132096331752027
788,13.5,3.4132096331752027
789,13.3,5.367494760127857
790,13.3,5.367494760127857
791,13.3,5.367494760127857
792,13.3,5.367494760127857
793,13.3,5.367494760127857
794,13.4,5.44426303552648
795,13.4,5.44426303552648
796,13.4,5.44426303552648
797,13.4,5.44426303552648
798,13.4,5.44426303552648
799,13.4,5.44426303552648
800,13.4,5.44426303552648
801,13.4,5.44426303552648
802,13.4,5.44426303552648
803,13.4,5.44426303552648
804,13.4,5.44426303552648
805,13.5,5.5362442142665635
806,13.5,5.5362442142665635
807,15.1,4.7
808,15.1,4.7
809,15.1,4.7
810,14.5,4.364630568559039
811,14.5,4.364630568559039
812,14.5,4.364630568559039
813,14.5,4.364630568559039
814,14.5,4.364630568559039
815,14.5,4.364630568559039
816,14.5,4.364630568559039
817,14.5,4.364630568559039
818,14.5,4.364630568559039
819,14.5,4.364630568559039
820,14.5,4.364630568559039
821,14.5,4.364630568559039
822,14.5,4.364630568559039
823,14.5,4.364630568559039
824,14.5,4.364630568559039
825,14.5,4.364630568559039
826,14.5,4.364630568559039
827,15.0,5.059644256269407
828,15.0,5.059644256269407
829,15.0,5.059644256269407
830,15.0,5.059644256269407
831,15.0,5.059644256269407
832,15.0,5.059644256269407
833,15.0,5.059644256269407
834,15.0,5.059644256269407
835,14.9,5.048762224545736
836,14.9,5.048762224545736
837,15.1,5.08822169328342
838,15.1,5.08822169328342
839,15.1,5.08822169328342
840,15.1,5.08822169328342
841,15.1,5.08822169328342
842,15.1,5.08822169328342
843,15.1,5.08822169328342
844,15.1,5.08822169328342
845,15.1,5.08822169328342
846,15.1,5.08822169328342
847,14.7,4.148493702538308
848,14.7,4.148493702538308
849,14.7,4.148493702538308
850,14.7,4.148493702538308
851,14.7,4.148493702538308
852,14.7,4.148493702538308
853,14.7,4.148493702538308
854,14.7,4.148493702538308
855,14.7,4.148493702538308
856,14.7,4.148493702538308
857,14.9,4.253234063627348
858,14.9,4.253234063627348
859,14.9,4.253234063627348
860,14.9,4.253234063627348
861,14.9,4.253234063627348
862,14.9,4.253234063627348
863,14.9,4.253234063627348
864,14.9,4.253234063627348
865,14.9,4.253234063627348
866,14.9,4.253234063627348
867,14.6,3.9293765408777004
868,14.6,3.9293765408777004
869,14.6,3.9293765408777004
870,14.6,3.9293765408777004
871,14.6,3.9293765408777004
872,14.6,3.9293765408777004
873,14.6,3.9293765408777004
874,14.6,3.9293765408777004
875,14.8,4.166533331199932
876,14.8,4.166533331199932
877,14.8,4.166533331199932
878,14.8,4.166533331199932
879,14.8,4.166533331199932
880,14.8,4.166533331199932
881,14.8,4.166533331199932
882,14.8,4.166533331199932
883,14.8,4.166533331199932
884,14.8,4.166533331199932
885,15.4,5.219195340279955
886,15.4,5.219195340279955
887,15.4,5.219195340279955
888,15.4,5.219195340279955
889,15.4,5.219195340279955
890,15.4,5.219195340279955
891,15.4,5.219195340279955
892,15.3,5.119570294468081
893,15.3,5.119570294468081
894,15.3,5.119570294468081
895,15.3,5.119570294468081
896,15.3,5.119570294468081
897,15.3,5.119570294468081
898,15.3,5.119570294468081
899,15.3,5.119570294468081
900,15.4,5.219195340279955
901,15.4,5.219195340279955
902,15.4,5.219195340279955
903,15.4,5.219195340279955
904,15.4,5.219195340279955
905,15.7,5.040833264451424
906,15.7,5.040833264451424
907,15.7,5.040833264451424
908,15.7,5.040833264451424
909,15.7,5.040833264451424
910,15.7,5.040833264451424
911,15.7,5.040833264451424
912,15.7,5.040833264451424
913,15.7,5.040833264451424
914,15.8,5.134199061197374
915,15.8,5.134199061197374
916,15.8,5.134199061197374
917,15.8,5.134199061197374
918,15.8,5.134199061197374
919,15.8,5.134199061197374
920,15.8,5.134199061197374
921,15.8,5.134199061197374
922,15.8,5.134199061197374
923,15.8,5.134199061197374
924,16.9,5.539855593785816
925,16.9,5.539855593785816
926,16.9,5.539855593785816
927,16.9,5.539855593785816
928,16.9,5.539855593785816
929,16.9,5.539855593785816
930,16.9,5.539855593785816
931,16.9,5.539855593785816
932,16.9,5.539855593785816
933,16.9,5.539855593785816
934,16.9,5.539855593785816
935,16.9,5.539855593785816
936,16.9,5.539855593785816
937,16.9,5.539855593785816
938,16.9,5.539855593785816
939,16.9,5.539855593785816
940,16.9,5.539855593785816
941,16.9,5.539855593785816
942,15.4,4.651881339845202
943,15.4,4.651881339845202
944,15.4,4.651881339845202
945,15.4,4.651881339845202
946,15.4,4.651881339845202
947,15.4,4.651881339845202
948,15.4,4.651881339845202
949,15.4,4.651881339845202
950,15.4,4.651881339845202
951,15.4,4.651881339845202
952,15.4,4.651881339845202
953,15.4,4.651881339845202
954,15.4,4.651881339845202
955,15.4,4.651881339845202
956,15.4,4.651881339845202
957,15.4,4.651881339845202
